JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456520.8780004,695.6471,0.4174,9.3538,0.0007,15.6609,1.76,V,G,bb
2456521.9850578,674.4586,0.4529,9.3874,0.0007,15.5724,1.75,V,G,bb
2456523.9829323,667.3170,0.4891,9.3990,0.0008,15.4888,1.73,V,G,bb
2456525.0081156,627.0424,0.5990,9.4665,0.0010,15.2688,1.66,V,G,bb
2456527.9780574,636.6917,0.5474,9.4500,0.0009,15.3665,1.77,V,G,bb
2456531.8577468,800.8539,0.3691,9.2009,0.0005,15.7944,1.75,V,G,bb
2456533.1205213,680.4633,0.4399,9.3778,0.0007,15.6039,1.74,V,G,bb
2456533.9803745,693.9782,0.4092,9.3564,0.0006,15.6825,1.67,V,G,bb
2456534.8820693,626.5093,0.5636,9.4675,0.0010,15.3349,1.75,V,G,bb
2456535.9207706,645.2335,0.5261,9.4355,0.0009,15.4096,1.69,V,G,bb
2456536.9249587,642.1987,0.5352,9.4406,0.0009,15.3910,1.75,V,G,bb
2456537.9648818,771.8670,0.2525,9.2409,0.0004,16.2065,2.06,V,G,bb
2456538.9487381,635.9863,0.5514,9.4512,0.0009,15.3587,1.69,V,G,bb
2456539.945299,716.0639,0.3384,9.3224,0.0005,15.8887,1.80,V,G,bb
2456543.8341681,808.4908,0.4147,9.1906,0.0006,15.6679,1.76,V,G,bb
2456548.7933503,751.4010,0.2129,9.2701,0.0003,16.3920,2.09,V,G,bb
2456556.7798222,755.2909,0.2485,9.2645,0.0004,16.2241,2.20,V,G,bb
2456559.7701748,683.4278,0.4626,9.3730,0.0007,15.5493,1.73,V,B,bb
2456562.7632222,650.2717,0.5247,9.4270,0.0009,15.4126,2.38,V,G,bb
2456569.7371218,274.8605,1.1362,10.3620,0.0045,14.5737,2.50,V,B,bb
2456570.7338418,741.6006,0.2708,9.2844,0.0004,16.1309,2.20,V,G,bb
2456574.7267986,233.1748,1.1463,10.5406,0.0053,14.5641,2.41,V,B,bb
2456599.9047815,548.3181,0.7995,9.6122,0.0016,14.9553,2.30,V,G,bb
2456600.8665158,845.8108,0.4973,9.1416,0.0006,15.4709,1.99,V,G,bb
2456609.7866583,649.6248,0.7492,9.4281,0.0013,15.0259,2.96,V,B,bb
2456618.9035894,822.0272,0.4506,9.1726,0.0006,15.5778,1.64,V,B,bb
2456631.8121998,800.7873,0.4319,9.2010,0.0006,15.6239,2.06,V,G,bb
2456635.8263013,799.2163,0.3828,9.2031,0.0005,15.7549,1.80,V,G,bb
2456636.84787,895.3048,0.6777,9.0799,0.0008,15.1348,2.25,V,G,bb
2456637.8471552,721.8369,0.4039,9.3137,0.0006,15.6966,2.03,V,G,bb
2456638.8466662,678.0416,0.5530,9.3816,0.0009,15.3556,2.02,V,G,bb
2456641.8198924,652.2635,0.5877,9.4237,0.0010,15.2895,2.81,V,G,bb
2456644.7702592,844.4696,0.5430,9.1433,0.0007,15.3754,3.24,V,G,bb
2456652.7416897,711.5706,0.4037,9.3292,0.0006,15.6971,2.20,V,G,bb
2456799.1178714,540.8803,0.7920,9.6270,0.0016,14.9655,1.65,V,G,bb
2456809.0878031,746.4844,0.2458,9.2772,0.0004,16.2358,2.34,V,G,bb
2456810.0954627,769.5774,0.2229,9.2442,0.0003,16.3423,2.33,V,G,bb
2456814.0906968,741.1492,0.2706,9.2850,0.0004,16.1315,1.99,V,G,bb
2456815.0905698,526.1725,0.7432,9.6570,0.0015,15.0346,2.12,V,B,bb
2456816.0921518,805.5648,0.3565,9.1945,0.0005,15.8322,2.13,V,G,bb
2456817.0746063,795.6744,0.3365,9.2079,0.0005,15.8948,2.07,V,G,bb
2456821.0666481,650.1911,0.8375,9.4272,0.0014,14.9049,2.16,V,G,bb
2456822.0680834,547.4238,0.7330,9.6140,0.0015,15.0496,2.17,V,G,bb
2456823.066647,655.5158,0.5298,9.4183,0.0009,15.4021,2.20,V,G,bb
2456824.0647007,782.6922,0.3162,9.2258,0.0004,15.9624,2.22,V,B,bb
2456825.0612683,691.1676,0.4378,9.3608,0.0007,15.6092,2.07,V,B,bb
2456827.085677,794.5621,0.3253,9.2095,0.0004,15.9316,2.47,V,G,bb
2456828.0857072,804.0430,0.3876,9.1966,0.0005,15.7413,2.28,V,G,bb
2456829.0814568,719.8394,0.3481,9.3167,0.0005,15.8581,2.03,V,G,bb
2456831.0736307,805.9585,0.3565,9.1940,0.0005,15.8321,2.34,V,G,bb
2456833.0476082,793.1712,0.3197,9.2114,0.0004,15.9506,2.05,V,G,bb
2456835.062754,723.3786,0.3310,9.3114,0.0005,15.9127,1.67,V,G,bb
2456836.0723706,639.9595,0.5254,9.4444,0.0009,15.4111,1.68,V,G,bb
2456847.0592803,812.4720,0.3678,9.1853,0.0005,15.7982,1.60,V,G,bb
2456849.0249179,590.9067,0.6466,9.5310,0.0012,15.1858,1.73,V,G,bb
2456850.017974,606.5234,0.6255,9.5027,0.0011,15.2217,1.86,V,B,bb
2456851.01511,569.5144,0.7120,9.5710,0.0014,15.0812,1.70,V,G,bb
2456853.0861962,588.5263,0.6664,9.5354,0.0012,15.1529,1.87,V,B,bb
2456855.0432641,671.5039,0.4869,9.3922,0.0008,15.4937,1.74,V,G,bb
2456857.047407,678.4672,0.4830,9.3810,0.0008,15.5024,2.02,V,G,bb
2456862.0463721,629.9169,0.5849,9.4616,0.0010,15.2946,1.68,V,B,bb
2456863.0381531,634.4655,0.5539,9.4538,0.0009,15.3537,1.80,V,G,bb
2456864.0341974,663.9202,0.4941,9.4045,0.0008,15.4778,1.63,V,G,bb
2456866.0327251,746.5858,0.2631,9.2771,0.0004,16.1620,1.98,V,G,bb
2456867.0337989,739.8318,0.2772,9.2869,0.0004,16.1053,2.10,V,G,bb
2456868.0343914,827.5606,0.4316,9.1653,0.0006,15.6248,2.20,V,U,bb
2456869.0207858,724.0206,0.3253,9.3104,0.0005,15.9316,2.03,V,G,bb
2456870.0337564,729.3597,0.3210,9.3024,0.0005,15.9463,1.69,V,G,bb
2456873.9469629,797.4419,0.3419,9.2055,0.0005,15.8776,1.76,V,G,bb
2456874.9447451,827.7054,0.4142,9.1651,0.0005,15.6695,1.69,V,G,bb
2456876.0253351,665.6018,0.4754,9.4017,0.0008,15.5198,1.71,V,G,bb
2456877.0153626,667.8700,0.4786,9.3981,0.0008,15.5125,1.99,V,G,bb
2456881.991934,599.3718,0.6819,9.5155,0.0012,15.1281,1.70,V,G,bb
2456883.0063022,613.3887,0.6848,9.4904,0.0012,15.1235,1.78,V,G,bb
2456884.9278722,820.2607,0.4320,9.1749,0.0006,15.6237,1.71,V,G,bb
2456886.0297861,752.3222,0.2430,9.2688,0.0004,16.2485,1.69,V,G,bb
2456887.0070435,823.5045,0.4047,9.1706,0.0005,15.6945,2.19,V,G,bb
2456887.9521337,821.6787,0.4575,9.1730,0.0006,15.5614,2.03,V,G,bb
2456888.9847028,826.3577,0.4174,9.1669,0.0005,15.6609,2.01,V,G,bb
2456889.9777025,840.9839,0.4740,9.1478,0.0006,15.5230,2.03,V,G,bb
2456891.9910625,839.5129,0.4646,9.1497,0.0006,15.5447,1.75,V,G,bb
2456894.9809993,840.2914,0.4552,9.1487,0.0006,15.5667,1.71,V,G,bb
2456895.9857575,843.5880,0.4684,9.1445,0.0006,15.5359,1.66,V,G,bb
2456896.9844739,832.3179,0.4393,9.1591,0.0006,15.6055,1.72,V,G,bb
2456897.9216967,823.4922,0.4087,9.1706,0.0005,15.6838,1.81,V,G,bb
2456899.9640328,834.7421,0.4558,9.1559,0.0006,15.5654,1.77,V,G,bb
2456900.9690189,839.2809,0.4585,9.1500,0.0006,15.5591,1.73,V,G,bb
2456902.9722261,838.1967,0.4531,9.1514,0.0006,15.5718,2.01,V,G,bb
2456904.9656412,837.2491,0.4420,9.1526,0.0006,15.5989,1.74,V,G,bb
2456905.8707121,802.5388,0.3871,9.1986,0.0005,15.7429,1.80,V,G,bb
2456906.8583844,799.4057,0.3706,9.2029,0.0005,15.7902,1.75,V,G,bb
2456909.9561503,557.4627,0.7285,9.5942,0.0014,15.0563,1.99,V,G,bb
2456910.9626301,587.6670,0.6747,9.5370,0.0012,15.1396,1.85,V,G,bb
2456911.8728353,708.1678,0.3996,9.3344,0.0006,15.7082,1.75,V,B,bb
2456912.9021918,710.1532,0.3869,9.3314,0.0006,15.7433,1.98,V,B,bb
2456913.9314529,837.8154,0.4767,9.1519,0.0006,15.5168,2.03,V,G,bb
2456914.9457063,839.9860,0.4771,9.1491,0.0006,15.5157,1.81,V,G,bb
2456918.0825838,729.7634,0.2986,9.3018,0.0004,16.0246,1.81,V,G,bb
2456918.9457257,762.3931,0.2245,9.2543,0.0003,16.3344,1.77,V,G,bb
2456919.9488133,752.3523,0.1975,9.2687,0.0003,16.4737,1.77,V,G,bb
2456920.9471092,848.9711,0.4759,9.1375,0.0006,15.5186,1.69,V,G,bb
2456922.946833,648.3004,0.5334,9.4303,0.0009,15.3948,1.67,V,G,bb
2456924.938429,843.0762,0.4745,9.1451,0.0006,15.5217,1.74,V,G,bb
2456928.9299401,742.1118,0.2387,9.2836,0.0003,16.2678,1.67,V,G,bb
2456931.9280903,842.1375,0.4568,9.1463,0.0006,15.5631,1.75,V,B,bb
2456932.9924118,834.8202,0.4328,9.1558,0.0006,15.6215,2.03,V,G,bb
2456934.8041543,724.5448,0.3827,9.3096,0.0006,15.7551,1.61,V,B,bb
2456937.7656616,528.1885,0.8942,9.6528,0.0018,14.8338,1.88,V,G,bb
2456938.906917,464.4401,0.9003,9.7925,0.0021,14.8264,1.73,V,B,bb
2456939.9373027,550.3050,0.7431,9.6083,0.0015,15.0348,1.68,V,B,bb
2456940.8610992,596.8729,0.6227,9.5201,0.0011,15.2267,1.74,V,G,bb
2456944.0015032,808.3042,0.3742,9.1908,0.0005,15.7795,2.11,V,G,bb
2456967.871874,587.8442,0.6412,9.5366,0.0012,15.1949,1.65,V,G,bb
2456969.8469934,608.6286,0.6023,9.4989,0.0011,15.2629,1.69,V,G,bb
2456970.8506804,640.4023,0.5465,9.4436,0.0009,15.3685,1.78,V,G,bb
2456971.8508339,654.5181,0.5046,9.4200,0.0008,15.4549,1.70,V,G,bb
2456972.8477961,623.0860,0.5903,9.4734,0.0010,15.2848,2.08,V,G,bb
2456973.8628049,633.9804,0.5464,9.4546,0.0009,15.3686,1.66,V,G,bb
2456979.8326025,838.4707,0.4628,9.1511,0.0006,15.5489,2.12,V,G,bb
2456980.8414654,828.1958,0.4262,9.1644,0.0006,15.6382,2.22,V,G,bb
2456981.8017647,824.5722,0.4157,9.1692,0.0005,15.6653,2.02,V,G,bb
2456982.8311216,724.3074,0.3771,9.3100,0.0006,15.7712,1.69,V,B,bb
2456983.7448437,817.1064,0.4043,9.1791,0.0005,15.6956,2.04,V,G,bb
2456984.7097891,807.7131,0.3905,9.1916,0.0005,15.7332,2.15,V,B,bb
2456985.822576,737.9910,0.2559,9.2897,0.0004,16.1924,1.70,V,B,bb
2456986.8251102,740.6596,0.2371,9.2857,0.0003,16.2752,1.66,V,G,bb
2456988.8253741,828.8023,0.4214,9.1637,0.0006,15.6507,2.04,V,G,bb
2456989.8310483,620.6867,0.5704,9.4776,0.0010,15.3220,2.01,V,G,bb
2456990.8252582,105.7421,1.3737,11.3992,0.0141,14.3676,2.02,V,B,bb
2456992.815796,623.1487,0.5919,9.4733,0.0010,15.2817,1.64,V,G,bb
2456993.808428,626.5010,0.5694,9.4675,0.0010,15.3239,1.64,V,G,bb
2456995.8676788,669.2351,0.4762,9.3958,0.0008,15.5179,2.60,V,B,bb
2456997.8652575,550.1044,0.7102,9.6087,0.0014,15.0840,2.08,V,B,bb
2456998.8179105,587.3710,0.6527,9.5375,0.0012,15.1756,2.17,V,G,bb
2456999.8019073,700.9960,0.4073,9.3455,0.0006,15.6876,2.37,V,G,bb
2457000.795453,811.6228,0.3932,9.1864,0.0005,15.7258,2.30,V,G,bb
2457001.8086742,626.4859,0.5681,9.4675,0.0010,15.3263,1.65,V,G,bb
2457002.8076272,822.4839,0.4147,9.1720,0.0005,15.6681,2.07,V,G,bb
2457003.7976421,822.9646,0.4110,9.1713,0.0005,15.6777,1.73,V,G,bb
2457004.8019147,823.7327,0.4078,9.1703,0.0005,15.6861,1.97,V,G,bb
2457005.80252,-106.4661,1.7418,14.1098,99.9990,14.1098,2.16,V,B,bb
2457006.805356,801.1072,0.3477,9.2006,0.0005,15.8595,2.32,V,G,bb
2457007.7847979,737.2787,0.3011,9.2907,0.0004,16.0157,1.99,V,G,bb
2457008.7907367,804.1591,0.3638,9.1964,0.0005,15.8102,2.31,V,G,bb
2457010.7877668,334.7939,1.1558,10.1478,0.0038,14.5552,2.07,V,B,bb
2457012.7888519,791.3229,0.3066,9.2139,0.0004,15.9960,2.14,V,G,bb
2457013.7751168,794.4437,0.3219,9.2096,0.0004,15.9432,2.23,V,G,bb
2457018.8098795,753.7600,0.1980,9.2667,0.0003,16.4707,2.60,V,G,bb
2457020.7658931,812.3389,0.3765,9.1854,0.0005,15.7729,1.73,V,G,bb
2457023.7944221,411.8652,1.0618,9.9229,0.0028,14.6472,2.03,V,B,bb
2457024.8241266,772.0838,0.2543,9.2406,0.0004,16.1988,2.05,V,B,bb
2457030.7474215,802.7320,0.3398,9.1984,0.0005,15.8843,2.12,V,G,bb
2457031.7587236,790.0518,0.3013,9.2156,0.0004,16.0148,2.16,V,G,bb
2457032.7477881,811.4792,0.3736,9.1866,0.0005,15.7813,2.02,V,G,bb
2457034.7462383,784.6352,0.2744,9.2231,0.0004,16.1163,2.20,V,G,bb
2457035.7439382,783.9705,0.2764,9.2240,0.0004,16.1086,2.24,V,G,bb
2457036.7412141,803.6868,0.3434,9.1971,0.0005,15.8727,1.73,V,G,bb
2457037.7386263,704.6802,0.3639,9.3398,0.0006,15.8100,1.63,V,G,bb
2457038.7365992,710.1457,0.3809,9.3314,0.0006,15.7604,1.63,V,G,bb
2457039.7366344,805.9966,0.3679,9.1939,0.0005,15.7979,1.83,V,G,bb
2457040.7287061,769.9453,0.1946,9.2436,0.0003,16.4894,2.40,V,G,bb
2457042.7385926,750.8766,0.2038,9.2709,0.0003,16.4392,2.61,V,G,bb
2457043.7098453,703.4995,0.3906,9.3416,0.0006,15.7329,1.67,V,G,bb
2457044.7305217,813.0780,0.3980,9.1845,0.0005,15.7127,1.69,V,G,bb
2457045.7364973,806.2657,0.3656,9.1936,0.0005,15.8048,1.74,V,G,bb
2457052.7136308,587.4394,0.6522,9.5374,0.0012,15.1764,1.72,V,G,bb
2457054.7099639,527.8996,0.8723,9.6534,0.0018,14.8606,1.78,V,G,bb
2457055.7145586,562.4050,0.6924,9.5847,0.0013,15.1114,1.68,V,B,bb
2457172.1196161,472.6402,1.1671,9.7735,0.0027,14.5446,1.67,V,G,bb
2457183.1143053,744.0682,0.4278,9.2807,0.0006,15.6343,1.68,V,G,bb
2457188.092938,-33.1909,1.5512,14.2357,99.9990,14.2357,1.71,V,B,bb
2457190.0933749,725.8611,0.3683,9.3076,0.0006,15.7970,1.76,V,G,bb
2457191.0826751,720.5970,0.3446,9.3156,0.0005,15.8690,2.05,V,G,bb
2457192.0794074,243.8216,1.1284,10.4921,0.0050,14.5812,1.74,V,B,bb
2457193.0859268,733.9041,0.2899,9.2957,0.0004,16.0567,1.83,V,G,bb
2457194.0867649,724.4360,0.3204,9.3098,0.0005,15.9480,2.02,V,G,bb
2457195.0814917,726.1764,0.3273,9.3072,0.0005,15.9248,2.08,V,G,bb
2457196.0712679,726.4223,0.3313,9.3068,0.0005,15.9117,2.11,V,G,bb
2457197.0717209,724.3346,0.3418,9.3099,0.0005,15.8778,2.10,V,G,bb
2457198.0657221,710.7240,0.3964,9.3305,0.0006,15.7171,2.31,V,G,bb
2457203.0566419,727.4508,0.3369,9.3053,0.0005,15.8935,2.17,V,G,bb
2457205.0505081,632.2256,0.6226,9.4576,0.0011,15.2268,1.61,V,G,bb
2457207.0492347,721.9651,0.4350,9.3135,0.0007,15.6161,1.69,V,G,bb
2457209.0432879,746.9682,0.2835,9.2765,0.0004,16.0809,1.71,V,G,bb
2457211.0652585,761.2423,0.2618,9.2560,0.0004,16.1675,1.68,V,G,bb
2457213.0843802,779.1301,0.2867,9.2308,0.0004,16.0689,1.65,V,G,bb
2457215.0365325,227.7961,1.1694,10.5659,0.0056,14.5424,2.40,V,B,bb
2457216.0114515,717.3513,0.3486,9.3205,0.0005,15.8565,2.02,V,G,bb
2457218.017299,618.0068,0.5823,9.4823,0.0010,15.2995,1.76,V,B,bb
2457222.0676353,774.9867,0.3043,9.2365,0.0004,16.0041,1.68,V,G,bb
2457227.0664779,771.8631,0.2531,9.2409,0.0004,16.2042,1.63,V,G,bb
2457228.9969069,743.7678,0.2270,9.2812,0.0003,16.3221,1.67,V,G,bb
2457231.0913017,772.6045,0.2406,9.2399,0.0003,16.2593,1.64,V,G,bb
2457231.9779192,738.8876,0.3229,9.2883,0.0005,15.9397,1.76,V,G,bb
2457233.1070227,831.5676,0.4359,9.1600,0.0006,15.6138,1.69,V,G,bb
2457233.9729687,755.3945,0.2848,9.2643,0.0004,16.0758,2.00,V,G,bb
2457236.0345882,599.7068,0.6568,9.5149,0.0012,15.1687,1.62,V,G,bb
2457238.0809872,740.2552,0.3819,9.2863,0.0006,15.7576,1.67,V,G,bb
2457241.0145792,807.5720,0.3942,9.1918,0.0005,15.7232,1.75,V,G,bb
2457243.052398,808.6967,0.4101,9.1903,0.0006,15.6802,1.70,V,G,bb
2457245.0779945,816.2738,0.3930,9.1802,0.0005,15.7264,1.60,V,G,bb
2457246.0294623,811.3117,0.4001,9.1868,0.0005,15.7070,1.70,V,G,bb
2457247.0618892,817.0604,0.3911,9.1791,0.0005,15.7316,1.69,V,G,bb
2457248.0302962,336.2020,0.9930,10.1433,0.0032,14.7199,2.15,V,G,bb
2457255.9779329,780.6839,0.3300,9.2286,0.0005,15.9161,1.69,V,G,bb
2457261.9035937,761.7779,0.2509,9.2552,0.0004,16.2134,2.09,V,G,bb
2457263.9550298,527.0122,0.8090,9.6552,0.0017,14.9425,1.74,V,G,bb
2457264.9038147,535.1971,0.7617,9.6385,0.0015,15.0079,1.74,V,G,bb
2457271.0771122,336.4179,0.9782,10.1426,0.0032,14.7363,1.65,V,G,bb
2457272.0261313,815.7962,0.4144,9.1808,0.0006,15.6688,1.61,V,G,bb
2457275.0881074,785.8480,0.2853,9.2214,0.0004,16.0741,1.74,V,G,bb
2457277.0564675,784.7335,0.2738,9.2230,0.0004,16.1187,1.76,V,B,bb
2457278.0027675,807.9207,0.3690,9.1914,0.0005,15.7948,1.66,V,G,bb
2457288.8086399,750.1373,0.2601,9.2719,0.0004,16.1744,1.72,V,G,bb
2457296.9862503,656.0875,0.5050,9.4174,0.0008,15.4540,1.72,V,G,bb
2457299.0114621,797.3337,0.3487,9.2057,0.0005,15.8564,1.64,V,G,bb
2457303.0282859,761.5667,0.1562,9.2555,0.0002,16.7284,1.83,V,G,bb
2457305.0155776,788.1267,0.3020,9.2183,0.0004,16.0123,1.68,V,G,bb
2457306.0186796,784.3518,0.2978,9.2235,0.0004,16.0275,1.69,V,G,bb
2457307.9040448,800.7627,0.3468,9.2010,0.0005,15.8623,1.71,V,G,bb
2457308.8714798,787.3191,0.3153,9.2194,0.0004,15.9655,1.71,V,G,bb
2457309.8952786,792.1369,0.3173,9.2128,0.0004,15.9587,1.76,V,G,bb
2457310.843882,793.8180,0.3279,9.2105,0.0004,15.9231,1.67,V,G,bb
2457314.7433525,262.1430,1.0525,10.4134,0.0044,14.6568,1.65,V,G,bb
2457315.7765833,679.6412,0.5054,9.3791,0.0008,15.4533,1.71,V,B,bb
2457317.7233952,233.0657,1.0867,10.5411,0.0051,14.6221,1.70,V,G,bb
2457318.7485316,751.2497,0.2119,9.2703,0.0003,16.3968,1.78,V,G,bb
2457319.7443432,755.8347,0.2121,9.2637,0.0003,16.3960,1.68,V,G,bb
2457320.874823,568.0347,0.7105,9.5738,0.0014,15.0834,1.69,V,G,bb
2457321.8389461,532.1136,0.7303,9.6448,0.0015,15.0536,1.70,V,G,bb
2457323.8574888,523.6663,0.7613,9.6621,0.0016,15.0085,1.72,V,G,bb
2457324.8871731,788.8751,0.3009,9.2173,0.0004,16.0162,1.78,V,G,bb
2457327.9592329,781.5903,0.2811,9.2273,0.0004,16.0902,1.67,V,G,bb
2457328.9551373,780.0986,0.2621,9.2294,0.0004,16.1662,1.71,V,G,bb
2457329.9548061,767.2806,0.1783,9.2474,0.0003,16.5847,1.67,V,G,bb
2457332.9312231,783.7478,0.2904,9.2243,0.0004,16.0548,1.72,V,G,bb
2457333.8344302,785.1634,0.2755,9.2224,0.0004,16.1119,1.70,V,G,bb
2457334.7510528,452.2171,0.9178,9.8214,0.0022,14.8054,2.08,V,B,bb
2457342.6881271,252.1957,1.1114,10.4554,0.0048,14.5976,2.46,V,G,bb
2457344.7017476,214.5347,1.1044,10.6310,0.0056,14.6046,3.02,V,B,bb
2457353.8834145,624.8601,0.5997,9.4703,0.0010,15.2676,1.74,V,G,bb
2457354.8872678,422.4492,1.0658,9.8953,0.0027,14.6431,1.75,V,B,bb
2457356.8761094,772.6618,0.2247,9.2398,0.0003,16.3333,1.72,V,G,bb
2457358.8761831,767.9538,0.1956,9.2464,0.0003,16.4840,1.73,V,G,bb
2457359.8142578,792.1267,0.2972,9.2128,0.0004,16.0298,1.72,V,G,bb
2457360.8676701,762.7685,0.2476,9.2538,0.0004,16.2281,1.77,V,G,bb
2457361.8677471,784.9896,0.4012,9.2226,0.0006,15.7040,1.64,V,G,bb
2457363.856912,771.0789,0.2137,9.2420,0.0003,16.3879,1.64,V,G,bb
2457364.8565757,768.9821,0.1905,9.2450,0.0003,16.5125,1.71,V,G,bb
2457365.7044456,790.6549,0.2996,9.2148,0.0004,16.0210,1.77,V,G,bb
2457366.797214,782.6524,0.2573,9.2259,0.0004,16.1864,2.18,V,G,bb
2457368.6977221,774.8933,0.2430,9.2367,0.0003,16.2485,1.79,V,G,bb
2457369.7103245,740.8408,0.2502,9.2855,0.0004,16.2166,2.74,V,G,bb
2457370.7438895,780.8080,0.2531,9.2284,0.0004,16.2042,1.68,V,G,bb
2457374.7030685,799.5825,0.3299,9.2026,0.0004,15.9164,1.74,V,B,bb
2457377.7920168,782.1913,0.2859,9.2265,0.0004,16.0718,1.76,V,G,bb
2457380.7813146,769.2637,0.2456,9.2446,0.0003,16.2369,1.80,V,G,bb
2457384.7979741,771.0100,0.2666,9.2421,0.0004,16.1477,1.71,V,G,bb
2457386.7916107,769.2146,0.1859,9.2447,0.0003,16.5393,1.65,V,G,bb
2457387.7153406,763.2992,0.1589,9.2530,0.0002,16.7098,1.77,V,G,bb
2457388.7882802,762.7384,0.1965,9.2538,0.0003,16.4787,1.68,V,G,bb
2457390.7773319,780.4156,0.2637,9.2290,0.0004,16.1595,1.70,V,G,bb
2457391.7742936,764.8140,0.1693,9.2509,0.0002,16.6409,2.01,V,G,bb
2457392.7669201,771.1001,0.2176,9.2420,0.0003,16.3682,1.71,V,G,bb
2457394.7688738,674.5110,0.4656,9.3873,0.0008,15.5423,3.14,V,G,bb
2457395.7669268,645.8877,0.5297,9.4344,0.0009,15.4022,3.45,V,G,bb
2457396.7077146,794.8037,0.3189,9.2091,0.0004,15.9531,1.77,V,G,bb
2457397.7347899,749.2951,0.2101,9.2731,0.0003,16.4063,1.85,V,G,bb
2457398.735159,772.0827,0.2358,9.2406,0.0003,16.2809,1.68,V,G,bb
2457399.7204686,790.8557,0.2877,9.2145,0.0004,16.0649,1.62,V,G,bb
2457401.702158,774.7352,0.2578,9.2369,0.0004,16.1843,2.08,V,G,bb
2457402.7140948,781.7363,0.2698,9.2271,0.0004,16.1347,2.05,V,G,bb
2457403.7144954,782.3811,0.2958,9.2262,0.0004,16.0350,1.65,V,G,bb
2457404.7149169,776.1576,0.2345,9.2349,0.0003,16.2871,1.82,V,G,bb
2457405.7267304,746.6297,0.2025,9.2770,0.0003,16.4461,2.01,V,G,bb
2457407.7201932,780.9099,0.2649,9.2283,0.0004,16.1548,2.04,V,G,bb
2457408.7242212,770.7032,0.2146,9.2426,0.0003,16.3834,1.83,V,G,bb
2457409.7206789,770.8925,0.2264,9.2423,0.0003,16.3254,2.05,V,G,bb
2457410.7198984,771.6333,0.2718,9.2413,0.0004,16.1267,2.08,V,G,bb
2457411.720104,752.9476,0.2070,9.2679,0.0003,16.4226,2.04,V,G,bb
2457412.7086126,773.1327,0.2368,9.2391,0.0003,16.2765,1.71,V,G,bb
2457413.7071205,762.6208,0.2310,9.2540,0.0003,16.3033,2.04,V,G,bb
2457537.1187087,435.1361,0.8877,9.8632,0.0022,14.8417,2.10,V,B,bb
2457544.1155039,663.2404,0.4966,9.4056,0.0008,15.4723,1.76,V,G,bb
2457545.0982235,708.3481,0.3554,9.3342,0.0005,15.8356,1.72,V,G,bb
2457550.0842679,730.5587,0.2832,9.3006,0.0004,16.0821,1.74,V,G,bb
2457558.0774127,332.1199,1.0526,10.1565,0.0034,14.6567,1.72,V,B,bb
2457560.0737407,733.4108,0.3220,9.2964,0.0005,15.9428,1.80,V,G,bb
2457561.0701537,730.3389,0.4102,9.3010,0.0006,15.6800,1.66,V,B,bb
2457562.0742051,680.4289,0.4502,9.3778,0.0007,15.5789,1.79,V,G,bb
2457564.0629765,739.3389,0.3072,9.2877,0.0005,15.9937,1.70,V,G,bb
2457575.1177682,778.7229,0.2835,9.2313,0.0004,16.0810,1.57,V,G,bb
2457579.0253152,738.0121,0.2683,9.2896,0.0004,16.1408,1.63,V,G,bb
2457581.0211546,723.7612,0.3448,9.3108,0.0005,15.8684,2.00,V,G,bb
2457583.0171272,717.0986,0.3671,9.3208,0.0006,15.8003,1.82,V,G,bb
2457584.0398369,730.5963,0.2707,9.3006,0.0004,16.1310,1.84,V,G,bb
2457587.0884776,760.2051,0.2226,9.2575,0.0003,16.3438,1.76,V,G,bb
2457588.0012527,729.1477,0.3582,9.3027,0.0005,15.8271,1.69,V,G,bb
2457589.9893386,732.1976,0.3448,9.2982,0.0005,15.8685,1.70,V,G,bb
2457591.9848706,717.3222,0.3653,9.3205,0.0006,15.8056,1.76,V,G,bb
2457596.0216345,691.6333,0.4175,9.3601,0.0007,15.6606,2.12,V,B,bb
2457598.028537,738.2735,0.2621,9.2892,0.0004,16.1661,1.80,V,B,bb
2457600.061769,760.4860,0.2046,9.2571,0.0003,16.4352,1.75,V,G,bb
2457602.0459986,778.6846,0.2640,9.2314,0.0004,16.1584,1.66,V,B,bb
2457603.0150006,771.5596,0.2297,9.2414,0.0003,16.3093,1.68,V,B,bb
2457603.9997301,757.8388,0.1498,9.2608,0.0002,16.7738,1.64,V,G,bb
2457606.1049285,747.4710,0.1961,9.2758,0.0003,16.4814,2.23,V,B,bb
2457606.9605036,738.6269,0.2822,9.2887,0.0004,16.0861,1.69,V,B,bb
2457608.1037282,794.5018,0.3386,9.2095,0.0005,15.8881,1.62,V,B,bb
2457610.976744,744.7313,0.2547,9.2798,0.0004,16.1972,1.63,V,B,bb
2457611.9427412,754.1904,0.1702,9.2661,0.0002,16.6348,1.69,V,B,bb
2457613.0407154,726.0072,0.3302,9.3074,0.0005,15.9153,1.76,V,B,bb
2457615.0337257,780.7033,0.2679,9.2286,0.0004,16.1424,1.59,V,B,bb
2457616.9418902,750.3141,0.2796,9.2717,0.0004,16.0961,1.62,V,G,bb
2457618.9159658,460.3053,0.8882,9.8022,0.0021,14.8411,1.80,V,G,bb
2457619.9484637,757.8733,0.3204,9.2608,0.0005,15.9481,2.02,V,G,bb
2457627.113046,754.7905,0.1736,9.2652,0.0002,16.6136,1.74,V,G,bb
