HJD,UT Date,Camera,Filter,FWHM,Limit,Mag,Mag Error,Flux (mJy),Flux Error
2459830.69208,2022-09-08.1886304,br,g,1.45,15.013,9.916,0.002,392.379,0.718
2459835.67073,2022-09-13.1670056,br,g,1.41,15.46,9.937,0.001,384.914,0.475
2459838.65278,2022-09-16.1489165,br,g,1.41,16.086,9.774,0.001,447.134,0.267
2459839.66013,2022-09-17.1562094,br,g,1.41,15.851,9.733,0.001,464.162,0.332
2459840.65081,2022-09-18.1468387,br,g,1.43,16.27,9.813,0.001,431.357,0.225
2459843.64441,2022-09-21.1403127,br,g,1.42,15.611,9.665,0.001,494.233,0.414
2459844.65107,2022-09-22.1469236,br,g,1.41,15.738,9.780,0.001,444.468,0.368
2459845.64223,2022-09-23.1380378,br,g,2.05,16.318,9.833,0.001,423.602,0.216
2459846.6343,2022-09-24.1300759,br,g,1.46,15.927,9.763,0.001,451.653,0.309
2459847.63464,2022-09-25.1303787,br,g,1.46,16.152,9.816,0.001,430.31,0.251
2459848.63038,2022-09-26.1260814,br,g,1.43,15.785,9.973,0.001,372.163,0.352
2459849.62795,2022-09-27.1236133,br,g,1.45,15.62,9.685,0.001,485.135,0.41
2459850.63827,2022-09-28.1338990,br,g,1.39,15.746,9.719,0.001,470.3,0.365
2459853.65708,2022-10-01.1526109,br,g,1.38,15.726,9.723,0.001,468.81,0.372
2459854.61244,2022-10-02.1079410,br,g,1.51,15.978,9.832,0.001,423.935,0.295
2459855.64163,2022-10-03.1371024,br,g,1.41,15.756,9.736,0.001,463.02,0.362
2459865.67362,2022-10-13.1688813,br,g,1.52,14.777,9.655,0.002,498.843,0.892
2459866.79055,2022-10-14.2857938,br,g,1.51,15.024,9.671,0.002,491.786,0.71
2459876.59967,2022-10-24.0948753,br,g,1.59,15.516,9.774,0.001,447.034,0.451
2459880.58219,2022-10-28.0774050,br,g,1.51,16.145,9.794,0.001,439.112,0.253
2459882.81148,2022-10-30.3067226,br,g,1.46,15.492,9.676,0.001,489.573,0.462
2459884.73321,2022-11-01.2284696,br,g,1.4,15.511,9.657,0.001,497.868,0.454
2459885.80605,2022-11-02.3013247,br,g,1.4,15.575,9.684,0.001,485.576,0.428
2459886.79822,2022-11-03.2935093,br,g,1.45,15.397,9.666,0.001,493.934,0.504
2459887.74469,2022-11-04.2399924,br,g,1.48,15.538,9.650,0.001,501.04,0.442
2459888.75473,2022-11-05.2500615,br,g,1.48,15.384,9.632,0.001,509.446,0.51
2459893.81537,2022-11-10.3108106,br,g,1.51,15.306,9.715,0.001,472.163,0.548
2459894.74451,2022-11-11.2399756,br,g,1.46,15.506,9.659,0.001,497.173,0.456
2459897.78025,2022-11-14.2758040,br,g,1.48,15.717,9.713,0.001,473.062,0.375
2459902.61651,2022-11-19.1122443,br,g,1.5,15.732,9.730,0.001,465.57,0.37
2459907.65107,2022-11-24.1470077,br,g,1.44,15.543,9.674,0.001,490.372,0.441
2459927.5927,2022-12-14.0897543,br,g,1.65,15.731,9.712,0.001,473.506,0.37
2459979.65611,2023-02-04.1573321,br,g,1.68,15.444,9.842,0.001,420.169,0.483
2459984.6267,2023-02-09.1283196,br,g,1.59,16.265,9.848,0.001,417.853,0.226
2459988.62626,2023-02-13.1281912,br,g,1.45,14.35,12.051,0.026,54.904,1.321
2459998.59876,2023-02-23.1014269,br,g,1.52,15.737,9.963,0.001,375.587,0.368
2459999.58156,2023-02-24.0842958,br,g,1.66,15.909,9.899,0.001,398.641,0.314
2460007.57375,2023-03-04.0770129,br,g,1.94,14.781,9.855,0.002,414.841,0.888
2460118.04285,2023-06-22.5452702,,,1.46,17.056,9.725,0.0,467.764,0.109
2460121.03278,2023-06-25.5349841,,,1.58,16.571,9.749,0.0,457.376,0.171
2460123.0337,2023-06-27.5357609,,,1.56,16.222,9.788,0.001,441.569,0.236
2460124.03225,2023-06-28.5342341,,,1.49,16.13,9.797,0.001,437.874,0.256
2460125.04307,2023-06-29.5449798,,,1.57,16.839,9.736,0.0,462.998,0.133
