JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456494.012291,640.2019,0.3888,9.4440,0.0007,15.7381,2.04,V,G,bb
2456497.936766,572.7629,0.6012,9.5648,0.0011,15.2649,1.90,V,G,bb
2456505.928383,749.3905,0.3967,9.2730,0.0006,15.7161,2.00,V,G,bb
2456506.9164335,745.0769,0.3937,9.2793,0.0006,15.7244,1.66,V,G,bb
2456508.0080901,644.1885,0.3559,9.4372,0.0006,15.8342,1.72,V,G,bb
2456509.0212295,652.8780,0.3465,9.4227,0.0006,15.8630,1.77,V,G,bb
2456510.9244403,770.1230,0.4958,9.2434,0.0007,15.4741,1.73,V,G,bb
2456512.1242076,647.9818,0.3864,9.4309,0.0006,15.7447,2.02,V,B,bb
2456513.0161439,645.5765,0.3586,9.4349,0.0006,15.8258,1.70,V,G,bb
2456514.0981408,686.7122,0.1818,9.3678,0.0003,16.5634,1.77,V,G,bb
2456516.887674,728.5973,0.3097,9.3036,0.0005,15.9849,1.76,V,G,bb
2456518.9146488,685.2064,0.1999,9.3702,0.0003,16.4603,1.72,V,G,bb
2456520.8780004,658.2281,0.3207,9.4138,0.0005,15.9472,1.76,V,G,bb
2456521.9850578,661.0088,0.2978,9.4093,0.0005,16.0274,1.75,V,G,bb
2456523.9829323,643.5191,0.3828,9.4384,0.0006,15.7548,1.73,V,G,bb
2456525.0081156,618.3671,0.4861,9.4817,0.0009,15.4955,1.66,V,G,bb
2456527.9780574,622.7027,0.4354,9.4741,0.0008,15.6151,1.77,V,G,bb
2456531.8577468,735.6965,0.3738,9.2930,0.0006,15.7809,1.75,V,G,bb
2456533.1205213,663.2970,0.2948,9.4055,0.0005,16.0384,1.74,V,G,bb
2456533.9803745,662.7420,0.2973,9.4064,0.0005,16.0293,1.67,V,G,bb
2456534.8820693,617.4830,0.4352,9.4832,0.0008,15.6156,1.75,V,G,bb
2456535.9207706,629.9178,0.4024,9.4616,0.0007,15.7008,1.69,V,G,bb
2456536.9249587,628.5512,0.4125,9.4639,0.0007,15.6737,1.75,V,G,bb
2456537.9648818,715.2167,0.2923,9.3237,0.0004,16.0478,2.06,V,G,bb
2456538.9487381,620.5058,0.4390,9.4779,0.0008,15.6062,1.69,V,G,bb
2456539.945299,682.3928,0.2070,9.3747,0.0003,16.4223,1.80,V,G,bb
2456543.8341681,742.9006,0.4192,9.2825,0.0006,15.6563,1.76,V,G,bb
2456548.7933503,693.2158,0.1873,9.3576,0.0003,16.5308,2.09,V,G,bb
2456556.7798222,694.0038,0.2476,9.3564,0.0004,16.2282,2.20,V,G,bb
2456559.7701748,630.0891,0.4216,9.4613,0.0007,15.6502,1.73,V,B,bb
2456562.7632222,599.0293,0.4932,9.5162,0.0009,15.4798,2.38,V,G,bb
2456569.7371218,252.1341,1.0881,10.4557,0.0047,14.6207,2.50,V,B,bb
2456570.7338418,681.6094,0.2439,9.3759,0.0004,16.2445,2.20,V,G,bb
2456574.7267986,209.8703,1.1005,10.6549,0.0057,14.6084,2.41,V,B,bb
2456599.9047815,497.7815,0.7877,9.7172,0.0017,14.9715,2.30,V,G,bb
2456600.8665158,784.5924,0.5069,9.2232,0.0007,15.4500,1.99,V,G,bb
2456609.7866583,631.5071,0.6024,9.4588,0.0010,15.2626,2.96,V,B,bb
2456618.9035894,773.7833,0.4945,9.2382,0.0007,15.4770,1.64,V,B,bb
2456631.8121998,759.4059,0.4990,9.2586,0.0007,15.4672,2.06,V,G,bb
2456635.8263013,752.0104,0.4354,9.2692,0.0006,15.6151,1.80,V,G,bb
2456636.84787,817.7232,0.6570,9.1783,0.0009,15.1685,2.25,V,G,bb
2456637.8471552,686.4004,0.3103,9.3683,0.0005,15.9830,2.03,V,G,bb
2456638.8466662,665.6087,0.4312,9.4017,0.0007,15.6257,2.02,V,G,bb
2456641.8198924,638.8968,0.4853,9.4462,0.0008,15.4973,2.81,V,G,bb
2456644.7702592,794.0270,0.5729,9.2102,0.0008,15.3171,3.24,V,G,bb
2456652.7416897,684.6526,0.2833,9.3711,0.0004,16.0817,2.20,V,G,bb
2456799.1178714,533.8591,0.7107,9.6412,0.0014,15.0832,1.65,V,G,bb
2456809.0878031,693.5028,0.1946,9.3572,0.0003,16.4897,2.34,V,G,bb
2456810.0954627,712.1113,0.2691,9.3284,0.0004,16.1376,2.33,V,G,bb
2456814.0906968,680.9368,0.2421,9.3770,0.0004,16.2522,1.99,V,G,bb
2456815.0905698,485.5496,0.7025,9.7442,0.0016,15.0958,2.12,V,B,bb
2456816.0921518,742.1531,0.3696,9.2835,0.0005,15.7929,2.13,V,G,bb
2456817.0746063,732.6599,0.3503,9.2975,0.0005,15.8511,2.07,V,G,bb
2456821.0666481,599.8011,0.7530,9.5148,0.0014,15.0204,2.16,V,G,bb
2456822.0680834,543.1014,0.6315,9.6226,0.0013,15.2114,2.17,V,G,bb
2456823.066647,624.3919,0.4498,9.4711,0.0008,15.5799,2.20,V,G,bb
2456824.0647007,721.6160,0.3285,9.3140,0.0005,15.9209,2.22,V,B,bb
2456825.0612683,658.6512,0.3398,9.4131,0.0006,15.8842,2.07,V,B,bb
2456827.085677,740.6984,0.3695,9.2857,0.0005,15.7934,2.47,V,G,bb
2456828.0857072,745.2352,0.4052,9.2790,0.0006,15.6931,2.28,V,G,bb
2456829.0814568,681.6848,0.2425,9.3758,0.0004,16.2505,2.03,V,G,bb
2456831.0736307,748.8731,0.3863,9.2738,0.0006,15.7451,2.34,V,G,bb
2456833.0476082,728.7628,0.3281,9.3033,0.0005,15.9224,2.05,V,G,bb
2456835.062754,682.7004,0.2290,9.3742,0.0004,16.3127,1.67,V,G,bb
2456836.0723706,624.8207,0.4054,9.4704,0.0007,15.6927,1.68,V,G,bb
2456847.0592803,740.7957,0.3548,9.2855,0.0005,15.8373,1.60,V,G,bb
2456849.0249179,586.3845,0.5351,9.5393,0.0010,15.3912,1.73,V,G,bb
2456850.017974,579.8085,0.5424,9.5516,0.0010,15.3765,1.86,V,B,bb
2456851.01511,564.0973,0.6044,9.5814,0.0012,15.2591,1.70,V,G,bb
2456853.0861962,568.1190,0.6031,9.5737,0.0012,15.2614,1.87,V,B,bb
2456855.0432641,650.1400,0.3718,9.4273,0.0006,15.7865,1.74,V,G,bb
2456857.047407,647.4205,0.3931,9.4318,0.0007,15.7260,2.02,V,G,bb
2456862.0463721,618.5899,0.4715,9.4813,0.0008,15.5287,1.68,V,B,bb
2456863.0381531,622.7175,0.4330,9.4741,0.0008,15.6212,1.80,V,G,bb
2456864.0341974,650.9598,0.3562,9.4259,0.0006,15.8331,1.63,V,G,bb
2456866.0327251,708.7368,0.2841,9.3336,0.0004,16.0786,1.98,V,G,bb
2456867.0337989,699.4144,0.2355,9.3479,0.0004,16.2825,2.10,V,G,bb
2456868.0343914,764.7946,0.4463,9.2509,0.0006,15.5882,2.20,V,U,bb
2456869.0207858,688.5477,0.1920,9.3649,0.0003,16.5039,2.03,V,G,bb
2456870.0337564,686.9560,0.2241,9.3675,0.0004,16.3362,1.69,V,G,bb
2456873.9469629,726.9894,0.3260,9.3060,0.0005,15.9294,1.76,V,G,bb
2456874.9447451,754.0837,0.3966,9.2662,0.0006,15.7163,1.69,V,G,bb
2456876.0253351,649.5708,0.3404,9.4282,0.0006,15.8822,1.71,V,G,bb
2456877.0153626,634.6720,0.3939,9.4534,0.0007,15.7239,1.99,V,G,bb
2456881.991934,592.9065,0.5760,9.5273,0.0011,15.3114,1.70,V,G,bb
2456883.0063022,599.6924,0.5833,9.5150,0.0011,15.2976,1.78,V,G,bb
2456884.9278722,747.3948,0.4112,9.2759,0.0006,15.6772,1.71,V,G,bb
2456886.0297861,705.1079,0.2748,9.3391,0.0004,16.1147,1.69,V,G,bb
2456887.0070435,760.2639,0.4132,9.2574,0.0006,15.6718,2.19,V,G,bb
2456887.9521337,751.9633,0.4507,9.2693,0.0007,15.5776,2.03,V,G,bb
2456888.9847028,760.6337,0.4211,9.2568,0.0006,15.6514,2.01,V,G,bb
2456889.9777025,772.1836,0.4694,9.2405,0.0007,15.5334,2.03,V,G,bb
2456891.9910625,768.2499,0.4548,9.2460,0.0006,15.5678,1.75,V,G,bb
2456894.9809993,767.9164,0.4393,9.2465,0.0006,15.6053,1.71,V,G,bb
2456895.9857575,771.3712,0.4568,9.2416,0.0006,15.5630,1.66,V,G,bb
2456896.9844739,764.1297,0.4403,9.2519,0.0006,15.6030,1.72,V,G,bb
2456897.9216967,755.4327,0.4071,9.2643,0.0006,15.6880,1.81,V,G,bb
2456899.9640328,767.1716,0.4548,9.2476,0.0006,15.5678,1.77,V,G,bb
2456900.9690189,766.8012,0.4536,9.2481,0.0006,15.5706,1.73,V,G,bb
2456902.9722261,768.7500,0.4444,9.2453,0.0006,15.5930,2.01,V,G,bb
2456904.9656412,766.1557,0.4343,9.2490,0.0006,15.6178,1.74,V,G,bb
2456905.8707121,731.2967,0.3789,9.2995,0.0006,15.7660,1.80,V,G,bb
2456906.8583844,730.7369,0.3669,9.3004,0.0005,15.8010,1.75,V,G,bb
2456909.9561503,551.3760,0.6384,9.6062,0.0013,15.1997,1.99,V,G,bb
2456910.9626301,595.6309,0.5369,9.5223,0.0010,15.3876,1.85,V,G,bb
2456911.8728353,674.0988,0.2995,9.3880,0.0005,16.0212,1.75,V,B,bb
2456912.9021918,676.3535,0.2912,9.3843,0.0005,16.0520,1.98,V,B,bb
2456913.9314529,768.8975,0.4702,9.2451,0.0007,15.5316,2.03,V,G,bb
2456914.9457063,768.2552,0.4578,9.2460,0.0006,15.5608,1.81,V,G,bb
2456918.0825838,692.4217,0.1710,9.3589,0.0003,16.6302,1.81,V,G,bb
2456918.9457257,712.5462,0.2924,9.3277,0.0004,16.0475,1.77,V,G,bb
2456919.9488133,710.9006,0.2598,9.3303,0.0004,16.1757,1.77,V,G,bb
2456920.9471092,776.1967,0.4630,9.2349,0.0006,15.5485,1.69,V,G,bb
2456922.946833,633.4079,0.4155,9.4556,0.0007,15.6659,1.67,V,G,bb
2456924.938429,770.6343,0.4617,9.2427,0.0007,15.5514,1.74,V,G,bb
2456928.9299401,697.8207,0.1859,9.3504,0.0003,16.5393,1.67,V,G,bb
2456931.9280903,770.2316,0.4440,9.2432,0.0006,15.5939,1.75,V,B,bb
2456932.9924118,766.4225,0.4320,9.2486,0.0006,15.6236,2.03,V,G,bb
2456934.8041543,658.9117,0.3773,9.4127,0.0006,15.7707,1.61,V,B,bb
2456937.7656616,528.8623,0.7934,9.6514,0.0016,14.9637,1.88,V,G,bb
2456938.906917,421.7669,0.8692,9.8971,0.0022,14.8645,1.73,V,B,bb
2456939.9373027,554.7828,0.6378,9.5995,0.0012,15.2006,1.68,V,B,bb
2456940.8610992,582.1543,0.5231,9.5472,0.0010,15.4158,1.74,V,G,bb
2456944.0015032,744.7390,0.3857,9.2798,0.0006,15.7467,2.11,V,G,bb
2456967.871874,575.3103,0.5384,9.5600,0.0010,15.3846,1.65,V,G,bb
2456969.8469934,597.4496,0.4904,9.5190,0.0009,15.4859,1.69,V,G,bb
2456970.8506804,627.1628,0.4264,9.4663,0.0007,15.6379,1.78,V,G,bb
2456971.8508339,648.6564,0.3388,9.4297,0.0006,15.8875,1.70,V,G,bb
2456972.8477961,616.2049,0.4720,9.4855,0.0008,15.5276,2.08,V,G,bb
2456973.8628049,619.0695,0.4308,9.4804,0.0008,15.6266,1.66,V,G,bb
2456979.8326025,761.7204,0.4272,9.2553,0.0006,15.6359,2.12,V,G,bb
2456980.8414654,755.4240,0.4143,9.2643,0.0006,15.6692,2.22,V,G,bb
2456981.8017647,750.4741,0.3978,9.2714,0.0006,15.7132,2.02,V,G,bb
2456982.8311216,657.7848,0.3670,9.4146,0.0006,15.8006,1.69,V,B,bb
2456983.7448437,742.5777,0.3835,9.2829,0.0006,15.7529,2.04,V,G,bb
2456984.7097891,736.0618,0.3673,9.2925,0.0005,15.7998,2.15,V,B,bb
2456985.822576,691.0294,0.1426,9.3610,0.0002,16.8273,1.70,V,B,bb
2456986.8251102,694.2021,0.1573,9.3561,0.0002,16.7205,1.66,V,G,bb
2456988.8253741,753.5656,0.3974,9.2670,0.0006,15.7142,2.04,V,G,bb
2456989.8310483,607.8114,0.4561,9.5004,0.0008,15.5647,2.01,V,G,bb
2456990.8252582,85.0554,1.3513,11.6355,0.0173,14.3855,2.02,V,B,bb
2456992.815796,607.7734,0.4818,9.5004,0.0009,15.5052,1.64,V,G,bb
2456993.808428,616.0276,0.4429,9.4858,0.0008,15.5966,1.64,V,G,bb
2456995.8676788,633.2338,0.3945,9.4559,0.0007,15.7222,2.60,V,B,bb
2456997.8652575,551.5715,0.5943,9.6058,0.0012,15.2774,2.08,V,B,bb
2456998.8179105,581.4582,0.5449,9.5485,0.0010,15.3716,2.17,V,G,bb
2456999.8019073,662.8049,0.3210,9.4063,0.0005,15.9461,2.37,V,G,bb
2457000.795453,740.0556,0.3781,9.2866,0.0006,15.7684,2.30,V,G,bb
2457001.8086742,603.2561,0.4760,9.5085,0.0009,15.5184,1.65,V,G,bb
2457002.8076272,755.7522,0.4165,9.2638,0.0006,15.6632,2.07,V,G,bb
2457003.7976421,752.9922,0.4041,9.2678,0.0006,15.6962,1.73,V,G,bb
2457004.8019147,755.0732,0.4035,9.2648,0.0006,15.6977,1.97,V,G,bb
2457005.80252,-98.9602,1.6731,14.1535,99.9990,14.1535,2.16,V,B,bb
2457006.805356,740.8121,0.3651,9.2855,0.0005,15.8062,2.32,V,G,bb
2457007.7847979,676.5018,0.2803,9.3841,0.0005,16.0933,1.99,V,G,bb
2457008.7907367,732.2613,0.3521,9.2981,0.0005,15.8458,2.31,V,G,bb
2457010.7877668,303.5362,1.1133,10.2543,0.0040,14.5959,2.07,V,B,bb
2457012.7888519,729.3203,0.3213,9.3025,0.0005,15.9452,2.14,V,G,bb
2457013.7751168,734.6975,0.3420,9.2945,0.0005,15.8772,2.23,V,G,bb
2457018.8098795,698.3636,0.2056,9.3496,0.0003,16.4298,2.60,V,G,bb
2457020.7658931,740.8042,0.3617,9.2855,0.0005,15.8165,1.73,V,G,bb
2457023.7944221,368.7186,1.0404,10.0430,0.0031,14.6694,2.03,V,B,bb
2457024.8241266,699.2188,0.2275,9.3482,0.0004,16.3200,2.05,V,B,bb
2457030.7474215,730.6964,0.3247,9.3004,0.0005,15.9337,2.12,V,G,bb
2457031.7587236,718.7456,0.2836,9.3183,0.0004,16.0804,2.16,V,G,bb
2457032.7477881,738.2378,0.3547,9.2893,0.0005,15.8377,2.02,V,G,bb
2457034.7462383,717.5154,0.2755,9.3202,0.0004,16.1122,2.20,V,G,bb
2457035.7439382,714.6816,0.2674,9.3245,0.0004,16.1444,2.24,V,G,bb
2457036.7412141,730.9014,0.3232,9.3001,0.0005,15.9385,1.73,V,G,bb
2457037.7386263,663.1014,0.2816,9.4058,0.0005,16.0883,1.63,V,G,bb
2457038.7365992,666.1185,0.3085,9.4009,0.0005,15.9892,1.63,V,G,bb
2457039.7366344,735.5075,0.3563,9.2933,0.0005,15.8329,1.83,V,G,bb
2457040.7287061,704.3944,0.2054,9.3402,0.0003,16.4308,2.40,V,G,bb
2457042.7385926,688.5403,0.1773,9.3650,0.0003,16.5904,2.61,V,G,bb
2457043.7098453,657.8950,0.3221,9.4144,0.0005,15.9424,1.67,V,G,bb
2457044.7305217,737.7207,0.3714,9.2901,0.0005,15.7878,1.69,V,G,bb
2457045.7364973,729.6022,0.3372,9.3021,0.0005,15.8928,1.74,V,G,bb
2457052.7136308,572.8011,0.5603,9.5648,0.0011,15.3413,1.72,V,G,bb
2457054.7099639,521.8057,0.7726,9.6660,0.0016,14.9925,1.78,V,G,bb
2457055.7145586,559.0103,0.5891,9.5912,0.0011,15.2868,1.68,V,B,bb
2457172.1196161,485.6924,1.0804,9.7439,0.0024,14.6284,1.67,V,G,bb
2457183.1143053,676.1530,0.4368,9.3847,0.0007,15.6115,1.68,V,G,bb
2457188.092938,-41.8163,1.5075,14.2667,99.9990,14.2667,1.71,V,B,bb
2457190.0933749,660.1008,0.3628,9.4108,0.0006,15.8132,1.76,V,G,bb
2457191.0826751,653.8776,0.3432,9.4210,0.0006,15.8735,2.05,V,G,bb
2457192.0794074,218.0761,1.0873,10.6133,0.0054,14.6215,1.74,V,B,bb
2457193.0859268,672.8824,0.2694,9.3899,0.0004,16.1366,1.83,V,G,bb
2457194.0867649,665.9787,0.2929,9.4011,0.0005,16.0455,2.02,V,G,bb
2457195.0814917,669.3396,0.2935,9.3957,0.0005,16.0432,2.08,V,G,bb
2457196.0712679,670.0870,0.3018,9.3945,0.0005,16.0131,2.11,V,G,bb
2457197.0717209,666.8077,0.3135,9.3998,0.0005,15.9718,2.10,V,G,bb
2457198.0657221,658.2765,0.3522,9.4138,0.0006,15.8455,2.31,V,G,bb
2457203.0566419,671.2670,0.3017,9.3925,0.0005,16.0134,2.17,V,G,bb
2457205.0505081,596.0329,0.5633,9.5216,0.0010,15.3355,1.61,V,G,bb
2457207.0492347,657.9351,0.4251,9.4143,0.0007,15.6411,1.69,V,G,bb
2457209.0432879,677.8921,0.2913,9.3819,0.0005,16.0515,1.71,V,G,bb
2457211.0652585,692.6012,0.2489,9.3586,0.0004,16.2223,1.68,V,G,bb
2457213.0843802,710.5881,0.2769,9.3307,0.0004,16.1067,1.65,V,G,bb
2457215.0365325,202.7061,1.1313,10.6926,0.0061,14.5784,2.40,V,B,bb
2457216.0114515,651.7515,0.3428,9.4246,0.0006,15.8747,2.02,V,G,bb
2457218.017299,560.2590,0.5626,9.5888,0.0011,15.3368,1.76,V,B,bb
2457222.0676353,706.1409,0.3018,9.3376,0.0005,16.0130,1.68,V,G,bb
2457227.0664779,702.1194,0.2418,9.3438,0.0004,16.2538,1.63,V,G,bb
2457228.9969069,676.1263,0.2245,9.3847,0.0004,16.3345,1.67,V,G,bb
2457231.0913017,702.9722,0.2395,9.3424,0.0004,16.2640,1.64,V,G,bb
2457231.9779192,674.9389,0.3061,9.3866,0.0005,15.9976,1.76,V,G,bb
2457233.1070227,757.0446,0.4173,9.2620,0.0006,15.6612,1.69,V,G,bb
2457233.9729687,683.5851,0.3072,9.3728,0.0005,15.9937,2.00,V,G,bb
2457236.0345882,594.4674,0.5394,9.5245,0.0010,15.3826,1.62,V,G,bb
2457238.0809872,699.6958,0.3573,9.3475,0.0006,15.8296,1.67,V,G,bb
2457241.0145792,735.4410,0.3796,9.2934,0.0006,15.7640,1.75,V,G,bb
2457243.052398,733.3444,0.3886,9.2965,0.0006,15.7386,1.70,V,G,bb
2457245.0779945,740.5864,0.3697,9.2858,0.0005,15.7926,1.60,V,G,bb
2457246.0294623,739.2475,0.3811,9.2878,0.0006,15.7597,1.70,V,G,bb
2457247.0618892,740.4188,0.3631,9.2861,0.0005,15.8123,1.69,V,G,bb
2457248.0302962,296.4637,0.9625,10.2799,0.0035,14.7539,2.15,V,G,bb
2457255.9779329,712.0705,0.3338,9.3285,0.0005,15.9037,1.69,V,G,bb
2457261.9035937,693.0637,0.2417,9.3578,0.0004,16.2543,2.09,V,G,bb
2457263.9550298,528.1479,0.7043,9.6529,0.0014,15.0929,1.74,V,G,bb
2457264.9038147,529.7624,0.6626,9.6496,0.0014,15.1593,1.74,V,G,bb
2457271.0771122,298.6297,0.9451,10.2719,0.0034,14.7737,1.65,V,G,bb
2457272.0261313,738.7197,0.3866,9.2886,0.0006,15.7443,1.61,V,G,bb
2457275.0881074,712.8229,0.2617,9.3273,0.0004,16.1680,1.74,V,G,bb
2457277.0564675,713.2004,0.2539,9.3268,0.0004,16.2008,1.76,V,B,bb
2457278.0027675,731.4908,0.3416,9.2993,0.0005,15.8785,1.66,V,G,bb
2457288.8086399,682.0610,0.2627,9.3752,0.0004,16.1637,1.72,V,G,bb
2457296.9862503,614.8072,0.4429,9.4879,0.0008,15.5966,1.72,V,G,bb
2457299.0114621,720.0947,0.3164,9.3163,0.0005,15.9618,1.64,V,G,bb
2457303.0282859,698.1283,0.1766,9.3499,0.0003,16.5951,1.83,V,G,bb
2457305.0155776,715.1930,0.2996,9.3237,0.0005,16.0211,1.68,V,G,bb
2457306.0186796,714.1337,0.2854,9.3253,0.0004,16.0739,1.69,V,G,bb
2457307.9040448,726.6819,0.3242,9.3064,0.0005,15.9355,1.71,V,G,bb
2457308.8714798,718.9044,0.3103,9.3181,0.0005,15.9829,1.71,V,G,bb
2457309.8952786,724.5471,0.3140,9.3096,0.0005,15.9701,1.76,V,G,bb
2457310.843882,723.5865,0.3219,9.3111,0.0005,15.9429,1.67,V,G,bb
2457314.7433525,229.1486,1.0201,10.5595,0.0048,14.6907,1.65,V,G,bb
2457315.7765833,621.0951,0.4782,9.4769,0.0008,15.5132,1.71,V,B,bb
2457317.7233952,202.1704,1.0503,10.6955,0.0056,14.6591,1.70,V,G,bb
2457318.7485316,684.5142,0.2130,9.3713,0.0003,16.3912,1.78,V,G,bb
2457319.7443432,688.6942,0.2119,9.3647,0.0003,16.3970,1.68,V,G,bb
2457320.874823,564.3601,0.6031,9.5809,0.0012,15.2614,1.69,V,G,bb
2457321.8389461,528.1486,0.6199,9.6529,0.0013,15.2316,1.70,V,G,bb
2457323.8574888,534.3151,0.6496,9.6403,0.0013,15.1808,1.72,V,G,bb
2457324.8871731,720.4998,0.3014,9.3157,0.0005,16.0144,1.78,V,G,bb
2457327.9592329,713.9344,0.2807,9.3256,0.0004,16.0919,1.67,V,G,bb
2457328.9551373,710.6594,0.2526,9.3306,0.0004,16.2062,1.71,V,G,bb
2457329.9548061,697.3538,0.1617,9.3511,0.0003,16.6909,1.67,V,G,bb
2457332.9312231,712.4151,0.2762,9.3279,0.0004,16.1093,1.72,V,G,bb
2457333.8344302,718.6573,0.2792,9.3185,0.0004,16.0974,1.70,V,G,bb
2457334.7510528,411.6214,0.8787,9.9235,0.0023,14.8527,2.08,V,B,bb
2457342.6881271,222.4604,1.0726,10.5916,0.0052,14.6362,2.46,V,G,bb
2457344.7017476,197.5256,1.0533,10.7207,0.0058,14.6560,3.02,V,B,bb
2457353.8834145,571.2808,0.5706,9.5677,0.0011,15.3215,1.74,V,G,bb
2457354.8872678,377.5497,1.0414,10.0173,0.0030,14.6683,1.75,V,B,bb
2457356.8761094,701.6669,0.2025,9.3445,0.0003,16.4463,1.72,V,G,bb
2457358.8761831,700.9073,0.1961,9.3456,0.0003,16.4813,1.73,V,G,bb
2457359.8142578,720.0091,0.2780,9.3164,0.0004,16.1022,1.72,V,G,bb
2457360.8676701,696.9427,0.2539,9.3518,0.0004,16.2005,1.77,V,G,bb
2457361.8677471,715.1150,0.3878,9.3238,0.0006,15.7408,1.64,V,G,bb
2457363.856912,701.0906,0.1990,9.3453,0.0003,16.4654,1.64,V,G,bb
2457364.8565757,698.9636,0.1722,9.3486,0.0003,16.6225,1.71,V,G,bb
2457365.7044456,718.7377,0.2813,9.3184,0.0004,16.0893,1.77,V,G,bb
2457366.797214,716.8716,0.2633,9.3212,0.0004,16.1614,2.18,V,G,bb
2457368.6977221,707.2181,0.2376,9.3359,0.0004,16.2728,1.79,V,G,bb
2457369.7103245,675.8686,0.2438,9.3851,0.0004,16.2447,2.74,V,G,bb
2457370.7438895,709.4869,0.2323,9.3324,0.0004,16.2973,1.68,V,G,bb
2457374.7030685,729.2708,0.3190,9.3026,0.0005,15.9530,1.74,V,B,bb
2457377.7920168,710.2594,0.2667,9.3312,0.0004,16.1472,1.76,V,G,bb
2457380.7813146,702.8233,0.2460,9.3427,0.0004,16.2351,1.80,V,G,bb
2457384.7979741,699.5714,0.2499,9.3477,0.0004,16.2181,1.71,V,G,bb
2457386.7916107,701.3597,0.1824,9.3449,0.0003,16.5596,1.65,V,G,bb
2457387.7153406,693.5882,0.1399,9.3570,0.0002,16.8476,1.77,V,G,bb
2457388.7882802,693.6769,0.1867,9.3569,0.0003,16.5347,1.68,V,G,bb
2457390.7773319,708.2145,0.2434,9.3344,0.0004,16.2465,1.70,V,G,bb
2457391.7742936,697.7140,0.1704,9.3506,0.0003,16.6337,2.01,V,G,bb
2457392.7669201,703.7114,0.2162,9.3413,0.0003,16.3752,1.71,V,G,bb
2457394.7688738,623.7539,0.4285,9.4722,0.0007,15.6325,3.14,V,G,bb
2457395.7669268,607.5334,0.4615,9.5009,0.0008,15.5519,3.45,V,G,bb
2457396.7077146,724.8197,0.3014,9.3092,0.0005,16.0144,1.77,V,G,bb
2457397.7347899,681.9650,0.2122,9.3754,0.0003,16.3954,1.85,V,G,bb
2457398.735159,702.3094,0.2275,9.3435,0.0004,16.3201,1.68,V,G,bb
2457399.7204686,718.9223,0.2700,9.3181,0.0004,16.1340,1.62,V,G,bb
2457401.702158,704.7856,0.2440,9.3396,0.0004,16.2440,2.08,V,G,bb
