JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456239.8545679,1094.6272,0.9731,8.8616,0.0010,14.7420,2.29,V,G,bb
2456242.8316405,1097.1130,0.9807,8.8592,0.0010,14.7335,2.16,V,G,bb
2456449.1081442,761.3639,0.4290,9.2558,0.0006,15.6313,2.11,V,G,bb
2456452.0883654,750.5914,0.3931,9.2713,0.0006,15.7261,2.02,V,G,bb
2456454.0835161,285.8521,1.0520,10.3194,0.0040,14.6573,1.99,V,B,bb
2456458.0543497,693.5280,0.1966,9.3571,0.0003,16.4784,1.80,V,G,bb
2456462.0552468,750.0201,0.4027,9.2721,0.0006,15.6999,1.76,V,G,bb
2456463.0534367,750.5114,0.4000,9.2714,0.0006,15.7073,1.69,V,G,bb
2456464.062027,764.1059,0.4292,9.2519,0.0006,15.6308,1.73,V,G,bb
2456465.0671577,763.7948,0.4366,9.2523,0.0006,15.6122,1.77,V,G,bb
2456466.0556427,597.7076,0.5768,9.5186,0.0010,15.3097,1.98,V,B,bb
2456470.0125039,587.7279,0.5076,9.5368,0.0009,15.4485,1.74,V,G,bb
2456471.0248986,610.8107,0.4544,9.4950,0.0008,15.5687,1.98,V,G,bb
2456472.0230541,623.8187,0.4150,9.4721,0.0007,15.6673,2.06,V,G,bb
2456473.0400812,730.8527,0.3384,9.3002,0.0005,15.8889,2.09,V,G,bb
2456474.042529,669.3712,0.2620,9.3956,0.0004,16.1668,1.69,V,G,bb
2456475.0589435,641.4563,0.3584,9.4419,0.0006,15.8265,1.72,V,G,bb
2456476.054627,786.8778,0.4938,9.2200,0.0007,15.4786,1.63,V,G,bb
2456477.0459252,648.0220,0.3415,9.4308,0.0006,15.8789,1.71,V,G,bb
2456478.0278862,633.2625,0.4029,9.4558,0.0007,15.6993,1.70,V,G,bb
2456479.0548614,672.7209,0.2474,9.3902,0.0004,16.2287,1.71,V,B,bb
2456479.9886596,766.3342,0.4383,9.2487,0.0006,15.6079,1.76,V,G,bb
2456481.0439754,527.9003,0.7330,9.6534,0.0015,15.0496,2.02,V,B,bb
2456482.0824213,666.2455,0.2710,9.4007,0.0004,16.1301,1.74,V,G,bb
2456483.1027776,651.3761,0.3339,9.4252,0.0006,15.9033,2.08,V,B,bb
2456484.9829302,751.3003,0.3978,9.2702,0.0006,15.7132,2.04,V,G,bb
2456487.0352485,668.8377,0.2668,9.3965,0.0004,16.1467,2.01,V,G,bb
2456488.0037845,701.6137,0.2222,9.3445,0.0003,16.3456,1.62,V,G,bb
2456489.0003648,698.0702,0.2625,9.3500,0.0004,16.1645,1.72,V,B,bb
2456490.0351315,642.3543,0.3661,9.4403,0.0006,15.8033,1.71,V,G,bb
2456491.0328841,633.3210,0.3922,9.4557,0.0007,15.7285,1.69,V,G,bb
2456492.0302763,674.1336,0.2352,9.3879,0.0004,16.2837,1.74,V,G,bb
2456493.0236318,651.5999,0.3617,9.4248,0.0006,15.8164,1.68,V,G,bb
