,name,ra,dec,app_mag,app_mag_flag,redshift_flag,redshift,object_type
,NPM1G-17.0312,11 40 42.2,-17 40 10,16.7,V,,0.021,S1n
,MCG -03.27.026,10 42 17.6,-17 40 18,,V,,0.021,S2
,Q 1247+4754,12 49 26.6,+47 37 57,19.15,R,,0.021,AG
,IGR J07565-4139,07 56 19.7,-41 37 42,,V,,0.021,S2
,MCG -01.30.005,11 34 23.3,-09 40 06,15.12,V,,0.021,S2
,MCG -01.22.013,08 28 47.1,-06 56 24,15.5,V,,0.021,S3
,IC 3599,12 37 41.2,+26 42 28,15.6,V,,0.021,S1n
,SDSS J08251+3759,08 25 10.2,+37 59 19,17.39,V,,0.021,AG
,MCG -04.05.044,01 39 20.4,-20 27 10,15.2,V,,0.021,S
,IC 1495,23 30 47.7,-13 29 08,13.0,V,,0.021,S2
,MARK 1388,14 50 37.8,+22 44 04,16.0,V,,0.021,S1.9
,NGC 3862,11 45 05.0,+19 36 24,13.97,V,,0.021,AG
,MARK  585,02 03 30.3,+02 33 59,15.7,V,,0.021,H2
,NGC 7832,00 06 28.5,-03 42 57,13.9,V,,0.021,S3
,GRS 1734-292,17 37 28.3,-29 08 02,21.0,V,,0.021,S1
,UGC 12040,22 27 05.9,+36 21 41,14.6,V,,0.021,S1.9
,SDSS J10071+0048,10 07 11.9,+00 48 32,20.33,V,,0.021,S1
,IRAS F12498+2721,12 52 17.7,+27 05 08,14.34,R,,0.021,S3
,MCG -03.35.020,13 53 08.2,-16 57 37,15.0,V,,0.021,S3
,ESO 541-G001,00 55 02.6,-19 00 17,13.61,V,,0.021,S2
,SDSS J11455+0943,11 45 30.3,+09 43 44,14.88,V,,0.021,S1
,CG  430,14 26 29.0,+43 28 14,17.0,V,,0.021,S2
,CDFS J02268-0415,02 26 49.9,-04 15 17,24.35,V,,0.021,S1
,Q 1622+4745A,16 23 33.0,+47 39 05,19.62,R,,0.021,AG
,MARK  565,01 16 03.6,+04 17 39,13.5,V,,0.021,S?
,SDSS J12029+0450,12 02 57.8,+04 50 45,17.54,V,,0.021,AG
,SDSS J11422+1403,11 42 16.9,+14 04 00,16.71,V,,0.021,S2
,POX  52,12 02 56.8,-20 56 03,17.2,V,,0.022,S1.8
,MCG +05.28.032,11 48 45.9,+29 38 29,14.66,V,,0.022,S3
,8C 0149+710,01 53 25.8,+71 15 07,15.5,V,,0.022,B?
,MCG -03.34.049,13 20 06.4,-17 07 06,15.14,V,,0.022,S1
,ESO 507-G70,13 02 52.4,-23 55 17,14.78,V,,0.022,S
,SDSS J03457-0715,03 45 45.2,-07 15 27,16.63,V,,0.022,S2
,SDSS J09382+0743,09 38 12.2,+07 43 39,16.49,V,,0.022,AG
,NGC 4156,12 10 49.7,+39 28 22,14.32,V,,0.022,AG
,SDSS J13320+1702,13 32 04.8,+17 02 56,16.37,V,,0.022,AG
,MARK  334,00 03 09.6,+21 57 36,14.62,V,,0.022,S1.8
,NVSS J19511-3059,19 51 11.9,-30 59 11,16.0,V,,0.022,S
,NGC 2965,09 43 19.1,+36 14 52,16.38,V,,0.022,S?
,MCG -01.25.049,09 50 56.5,-04 59 06,14.46,V,,0.022,S2
,MARK   79,07 42 32.9,+49 48 35,14.27,V,,0.022,S1.2
,NGC 5260,13 40 19.7,-23 51 28,13.42,V,,0.022,S2
,NPM1G-10.0474,13 32 39.1,-10 28 53,15.6,V,,0.022,S1
,UM 395,02 06 56.8,+01 41 52,16.2,V,,0.022,H2
,RXS J12102+3918,12 10 16.6,+39 18 16,17.18,V,,0.022,AG
,NPM1G+41.0135,06 55 10.0,+41 00 10,9.37,R,,0.022,S?
,UGC 3901,07 33 53.1,+49 17 31,15.3,V,,0.022,S1.9
,NGC 5851,15 06 53.5,+12 51 31,15.0,V,,0.022,S3
,UGC  3142,04 43 46.9,+28 58 19,16.5,V,,0.022,S1.0
,KUV 13000+2908,13 02 25.5,+28 51 31,16.15,P,,0.022,H2
,Q 1058+4753,11 01 45.3,+47 37 24,17.95,R,,0.022,AG
,NPM1G+78.0048,12 42 36.1,+78 07 20,16.81,V,,0.022,S1.9
,IRAS 01184-3246,01 20 46.4,-32 31 27,16.0,V,,0.022,S
,NGC   71,00 18 23.5,+30 03 47,14.8,V,,0.022,S2
,NPM1G+23.0202,09 42 04.8,+23 41 07,16.18,V,,0.022,S1.5
,ESO 426-G002,06 23 46.5,-32 13 00,14.3,V,,0.022,S2
,SDSS J13358+0259,13 35 48.2,+02 59 56,16.15,V,,0.022,S1
,ESO 320-G07,11 35 45.2,-38 21 53,14.2,V,,0.022,S3
,Q 0002+0118B,00 05 15.1,+01 34 53,17.78,R,,0.022,AG
,NGC 5252,13 38 15.9,+04 32 33,14.21,V,,0.022,S2
,Q 2225+0216,22 28 18.0,+02 31 44,17.92,R,,0.022,AG
,UGC  2024,02 33 01.2,+00 25 14,13.7,V,,0.022,S2
,SDSS J10486+6621,10 48 38.0,+66 21 43,18.05,V,,0.022,S2
,NGC 7319,22 36 03.5,+33 58 33,13.53,V,,0.022,S2
,NGC  235,00 42 52.8,-23 32 28,14.2,V,,0.022,S1
,SDSS J02338+0108,02 33 51.6,+01 08 13,16.24,V,,0.022,S1
,AKN  347,12 04 29.7,+20 18 58,14.44,V,,0.022,S2
,1AXG J132310-1656,13 23 14.4,-16 55 27,15.0,R,,0.022,AG
,ESO 511-G030,14 19 22.3,-26 38 41,14.9,V,,0.022,S1
,MCG -01.34.008,13 10 17.3,-07 27 15,14.5,V,,0.022,S2
,SDSS J11392+2839,11 39 17.2,+28 39 47,15.86,V,,0.023,S2
,NGC 7214,22 09 07.7,-27 48 34,14.1,V,,0.023,S1.2
,MCG -03.38.010,14 47 33.5,-20 28 02,15.0,V,,0.023,S3
,KUG 0312+013,03 15 05.4,+01 30 31,15.6,V,,0.023,S2
,NGC 5232,13 36 08.5,-08 29 52,13.0,R,,0.023,S?
,SDSS J02260+0101,02 26 01.3,+01 01 05,17.1,V,,0.023,S2
,NGC 4619,12 41 44.7,+35 03 45,13.5,V,,0.023,S1.0
,Zw 045.099,13 47 09.2,+03 38 38,15.9,V,,0.023,S2
,MARK  860,15 39 27.5,+24 56 53,14.8,V,,0.023,S?
,Q 0948+4750,09 51 27.8,+47 36 53,20.4,R,,0.023,AG
,ESO 439-G09,11 27 23.4,-29 15 27,14.8,V,,0.023,S2
,CTS J10.09,12 33 51.5,-21 03 45,16.2,V,,0.023,S1
,MCG +00.35.020,13 46 20.1,-03 25 42,15.02,V,,0.023,S2
,SDSS J13390+0209,13 39 04.6,+02 09 49,17.93,V,,0.023,S2
,MCG -01.60.021,23 41 47.3,-03 40 02,14.5,V,,0.023,S3
,MCG -05.13.010,05 10 13.9,-29 24 13,15.0,V,,0.023,S3
,MARK  622,08 07 41.0,+39 00 13,14.08,V,,0.023,S2
,SDSS J01300+1336,01 30 05.7,+13 36 17,20.89,V,,0.023,S1
,SDSS J13359+0143,13 35 58.6,+01 43 47,18.41,V,,0.023,S2
,SDSS J13236+0430,13 23 40.3,+04 30 55,22.88,V,,0.023,S1
,Q 1310+3801,13 12 50.3,+37 45 14,18.74,R,,0.023,AG
,SDSS J12044+0138,12 04 25.1,+01 38 50,18.8,V,,0.023,S2
,MCG -01.40.001,15 33 18.9,-08 41 25,15.7,V,,0.023,S2
,MARK 1073,03 15 01.4,+42 02 09,14.18,V,,0.023,S2
,TOL 1332+044,13 34 51.0,+04 14 12,17.52,V,,0.023,AG
,MCG -01.22.006,08 23 01.1,-04 56 05,16.0,V,,0.023,S2
,MCG -02.08.031,02 56 09.8,-13 41 07,15.38,V,,0.023,S2
,KUG 1208+386,12 10 44.3,+38 20 10,15.92,V,,0.023,S1.0
,CG  782,10 48 16.3,+33 16 03,17.0,V,,0.023,S2
,KISSB  113,13 01 25.2,+29 18 48,14.67,V,,0.023,S2
,SDSS J17233+5938,17 23 19.9,+59 38 34,20.23,V,,0.023,S1
,RXS J21231-1036,21 23 07.2,-10 36 49,17.6,V,,0.023,BL?
,SDSS J02446-0907,02 44 40.7,-09 07 35,16.87,V,,0.023,S2
,MCG -04.30.035,12 52 35.9,-21 54 53,15.8,V,,0.023,S
,Q 0208+0218,02 10 57.4,+02 32 10,19.35,R,,0.023,AG
,IC 1529,00 05 13.2,-11 30 09,14.3,V,,0.023,S3
,ESO 575-IG016,12 52 36.4,-21 54 38,14.87,V,,0.023,S2
,MARK   50,12 23 24.1,+02 40 45,16.63,V,,0.023,S1.2
,MARK 1361,13 47 04.4,+11 06 23,15.3,V,,0.023,S
,SDSS J12408+0100,12 40 53.6,+01 00 30,17.09,V,,0.023,S2
,SDSS J23577+0039,23 57 43.8,+00 39 18,17.24,V,,0.023,S1
,GSC 4926 01061,11 24 56.3,-03 48 40,15.04,V,,0.023,S2
,ESO 244-G17,01 20 19.7,-44 07 43,14.75,V,,0.023,S1.5
,SDSS J13208+2155,13 20 53.7,+21 55 10,19.3,V,,0.023,AG
,ESO 583-G02,15 40 19.9,-18 26 40,15.5,V,,0.023,S1.0
,MARK 1047,02 32 47.5,+00 40 41,16.0,V,,0.023,H2
,SDSS J02457-0014,02 45 47.6,-00 14 26,16.56,V,,0.023,S?
,Q 1208+3759,12 10 43.6,+37 42 50,16.99,R,,0.023,H2
,NPM1G+29.0274,13 24 42.6,+29 02 59,15.68,V,,0.023,S2
,F  239,04 48 51.2,-57 39 37,14.8,V,,0.023,S2
,KISSR  112,12 45 35.3,+28 45 43,15.46,V,,0.023,S3
,SDSS J16555+6314,16 55 33.3,+63 14 31,17.37,V,,0.023,S1
,ESO 374-G25,10 03 23.6,-37 33 39,15.29,V,,0.023,S1
,SDSS J10021+0303,10 02 07.0,+03 03 27,14.25,V,,0.023,S1
,MARK  202,12 17 54.9,+58 39 35,16.39,V,,0.023,S1
,IC 1515,23 56 03.9,-00 59 18,14.4,V,,0.023,S2
,SDSS J13009-0120,13 00 54.5,-01 20 47,18.19,V,,0.023,S1
,NGC 3884,11 46 12.2,+20 23 29,12.88,V,,0.023,S3b
,NVSS J15123-3333,15 12 22.4,-33 33 33,14.9,R,,0.023,S
,ESO 235-G59,21 06 33.5,-49 13 08,14.4,V,,0.024,S1.8
,NGC 5514,14 13 38.9,+07 39 33,13.7,V,,0.024,S3
,CG   96,11 17 52.7,+29 18 16,17.0,V,,0.024,S1.8
,WKK 1263,12 41 25.5,-57 49 51,16.9,V,,0.024,S2
,NGC 7592W,23 18 22.1,-04 24 59,13.56,V,,0.024,S2
,GSC 6133 00078,13 30 41.7,-21 39 47,15.49,V,,0.024,S2
,ESO 506-G27,12 38 54.6,-27 18 28,14.87,V,,0.024,S2
,ESO 386-G034,14 56 08.4,-37 38 52,13.5,V,,0.024,S2
,MARK  403,09 40 44.5,+21 14 04,14.53,V,,0.024,S2
,MCG +03.45.003,17 35 33.8,+20 47 47,16.2,V,,0.024,S
,MCG -05.32.059,13 39 22.5,-32 13 27,14.1,V,,0.024,S3
,Zw 399.005,20 23 04.3,+09 32 37,15.7,V,,0.024,S1.9
,PG 1016+336,10 19 49.5,+33 22 04,15.93,V,,0.024,S1n
,ESO 328-IG36,15 14 50.7,-40 20 23,15.85,V,,0.024,S1.8
,MARK  308,22 41 56.0,+20 15 42,14.65,V,,0.024,S
,LEDA 93974,10 40 22.5,-46 25 26,16.8,V,,0.024,S2
,NGC 7592E,23 18 21.8,-04 24 56,15.0,V,,0.024,H2
,IRAS 01089-4743,01 11 09.7,-47 27 35,14.53,V,,0.024,S1
,NVSS J09582-3809,09 58 13.2,-38 09 26,14.4,R,,0.024,S3
,AKN  524,17 36 53.4,+68 10 18,15.6,V,,0.024,S1.5
,UGC  7064,12 04 43.4,+31 10 38,14.01,V,,0.024,S1.9
,NGC 5849,15 06 50.7,-14 34 18,15.0,V,,0.024,S3
,SDSS J03191+0057,03 19 07.7,+00 57 21,17.88,V,,0.024,S1
,SDSS J13063+5318,13 06 21.0,+53 18 23,16.91,V,,0.024,AG
,PGC 50427,14 08 06.7,-30 23 53,15.3,V,,0.024,S1.5
,NGC 4966,13 06 17.3,+29 03 47,13.48,V,,0.024,S3
,NGC 6240,16 52 58.9,+02 24 01,13.37,V,,0.024,S3
,Q 0101-1232,01 03 31.1,-12 16 07,15.95,V,,0.024,S2
,Zw 551.008,01 10 14.1,+50 10 32,15.7,V,,0.024,S
,NGC 1019,02 38 27.4,+01 54 28,14.95,V,,0.024,S1.5
,NGC 6251,16 32 32.1,+82 32 17,14.0,V,,0.024,S2
,NGC   70,00 18 22.6,+30 04 46,14.5,V,,0.024,S3
,SDSS J12430-0116,12 43 03.0,-01 16 57,18.7,V,,0.024,S2
,NPM1G+50.0375,17 20 29.5,+50 22 37,13.72,R,,0.024,S2
,NGC 4922B,13 01 24.5,+29 18 31,14.99,V,,0.024,S2
,KUG 1210+379,12 13 25.6,+37 41 58,15.7,V,,0.024,H2
,NGC 7596,23 17 12.1,-06 54 42,15.1,V,,0.024,S
,MARK  198,12 09 14.2,+47 03 31,14.73,V,,0.024,S2
,ESO 438-G09,11 10 48.0,-28 30 04,14.17,V,,0.024,S1
,KUG 1259+280,13 02 00.1,+27 46 57,15.9,V,,0.024,AG
,MARK 1133,23 44 01.2,+27 42 56,15.5,V,,0.024,H2
,MCG -04.16.001,06 23 51.0,-23 11 37,14.4,V,,0.024,S
,Zw 022.021,15 38 44.7,-03 22 48,15.3,V,,0.024,S1.9
,SDSS J13465+6423,13 46 32.2,+64 23 25,16.21,V,,0.024,S1
,MARK   42,11 53 41.8,+46 12 43,15.45,V,,0.024,S1n
,US  195,13 03 26.2,+31 27 22,17.41,V,,0.024,H2
,MARK 1370,14 08 04.1,+07 19 41,16.0,V,,0.024,S2
,MCG -02.58.021,23 03 11.1,-08 59 19,15.5,V,,0.024,S?
,CG 1180,13 43 00.7,+36 09 57,17.69,V,,0.024,AG
,MCG +04.28.122,12 01 45.0,+20 19 43,14.74,V,,0.024,S2
,UGC  4498,08 37 26.6,+40 02 07,14.8,V,,0.024,S?
,MCG +00.35.020,13 46 22.2,-03 25 06,15.3,V,,0.024,S
,MCG +08.15.009,07 51 51.8,+49 48 51,16.75,V,,0.024,S1.9
,RXS J04344+7127,04 34 28.6,+71 28 05,16.5,V,,0.025,S1.5
,NGC 5995,15 48 25.0,-13 45 27,13.69,V,,0.025,S1.9
,Zw 338.014,15 42 55.5,+70 49 41,12.85,R,,0.025,S?
,MARK  915,22 36 46.5,-12 32 42,14.5,V,,0.025,S1.8
,RXS J11032-0654,11 03 15.8,-06 54 10,13.34,V,,0.025,S1
,SDSS J14102+0149,14 10 12.3,+01 49 05,17.57,V,,0.025,S2
,Zw 493.002,21 38 33.5,+32 05 05,14.8,V,,0.025,S1.8
,VPM J17177+4302,17 17 45.4,+43 02 49,19.6,P,,0.025,S?
,UM 625,14 00 40.6,-01 55 18,17.0,V,,0.025,S2
,MCG +00.01.017,00 00 35.7,-01 45 47,15.3,V,,0.025,S3
,SDSS J09504+0134,09 50 26.0,+01 34 57,17.38,V,,0.025,S1
,KUG 0228+014B,02 31 30.0,+01 40 28,17.3,R,,0.025,AG
,NGC 1410,03 41 10.7,-01 17 55,15.22,V,,0.025,S2
,ESO 602-G25,22 31 25.6,-19 02 05,14.3,V,,0.025,S
,UGC  5037,09 27 18.3,+23 01 12,16.25,V,,0.025,S1
,SDSS J08327+0636,08 32 44.0,+06 36 34,19.18,V,,0.025,S1
,SDSS J08378+5517,08 37 53.6,+55 17 00,20.85,V,,0.025,S1
,NPM1G-18.0578,22 29 12.5,-18 10 48,16.4,V,,0.025,S3
,UGC 12138,22 40 17.1,+08 03 14,14.45,V,,0.025,S1.8
,AKN  557,22 32 30.8,+08 12 27,14.9,V,,0.025,S1.5
,MCG +10.12.112,08 16 01.2,+58 20 03,16.0,V,,0.025,S2
,NGC  640,01 39 24.8,-09 24 03,15.5,V,,0.025,S2
,MARK  917,22 41 07.6,+32 10 11,14.1,V,,0.025,S2
,NPM1G-13.0475,15 06 26.1,-14 07 01,15.2,V,,0.025,S3
,ESO 399-IG20,20 06 58.1,-34 32 55,14.51,V,,0.025,S1n
,ESO 208-G34,07 43 31.7,-51 40 57,15.35,V,,0.025,S2
,SBS 0936+531,09 40 16.4,+52 57 18,18.0,V,,0.025,S?
,MCG -06.15.006,06 32 22.4,-33 30 55,15.0,V,,0.025,S
,ESO 306-G25,05 45 51.1,-39 29 39,14.9,V,,0.025,S2
,Arp 102B,17 19 14.5,+48 58 50,14.81,V,,0.025,S3b
,IRAS 14317-3237,14 34 43.2,-32 50 25,14.4,V,,0.025,S2
,MARK 1127,23 02 03.4,+27 03 10,14.42,V,,0.025,H2
,KUG 0826+225,08 29 44.3,+22 25 27,15.0,V,,0.025,S?
,NPM1G+30.0129,08 24 43.3,+29 59 23,15.61,V,,0.025,S2
,UGC  9944,15 35 47.9,+73 27 02,14.9,V,,0.025,S2
,MCG -06.15.009,06 33 41.5,-34 16 17,15.0,V,,0.025,S
,NGC 6786,19 10 54.0,+73 24 36,13.8,V,,0.025,S2
,Q 0945+4753,09 48 20.3,+47 39 54,17.96,R,,0.025,AG
,NGC 4853,12 58 35.2,+27 35 47,13.93,V,,0.025,S?
,UGC  4155,08 00 21.0,+26 36 49,16.36,V,,0.025,S1
,MARK 1325,12 26 28.0,+09 01 15,14.58,V,,0.025,S3
,SDSS J11089-0033,11 08 57.8,-00 33 37,21.73,V,,0.025,S3
,NGC 5674,14 33 52.3,+05 27 30,13.7,V,,0.025,S1.9
,Q 1128+4641,11 31 00.9,+46 24 51,17.75,R,,0.025,AG
,MARK  885,16 29 48.3,+67 22 42,14.56,V,,0.025,S1.0
,RXS J21359+4728,21 35 54.0,+47 28 21,16.3,V,,0.025,S1
,SDSS J02487-0006,02 48 47.6,-00 06 33,16.88,V,,0.025,S1
,SDSS J09246+5607,09 24 38.9,+56 07 47,16.92,V,,0.025,S1n
,NGC 4992,13 09 05.6,+11 38 03,14.34,V,,0.025,S1
,ESO 549-G050,04 02 46.1,-21 07 08,14.17,V,,0.025,S2
,AKN  564,22 42 39.3,+29 43 32,14.16,V,,0.025,S3
,PC 0227+0034,02 30 18.5,+00 47 52,20.9,R,,0.025,AG
,SDSS J13018+4723,13 01 53.1,+47 23 49,15.89,V,,0.025,S1
,SDSS J12260-0327,12 26 00.3,-03 27 54,17.45,V,,0.025,S2
,SDSS J08448+5503,08 44 53.5,+55 03 14,16.88,V,,0.026,S1
,ESO 538-G25,00 10 54.3,-21 04 03,15.3,V,,0.026,S2
,MARK  663,13 54 20.1,+32 55 50,15.4,V,,0.026,S1
,Q J02399-0131,02 39 56.3,-01 31 37,15.9,V,,0.026,AG
,SDSS J02248-0031,02 24 48.0,-00 31 36,21.24,V,,0.026,S3
,SDSS J08506+5721,08 50 36.9,+57 21 34,17.0,V,,0.026,S2
,SDSS J09412+6103,09 41 12.9,+61 03 40,18.43,V,,0.026,S2
,IC 5310,23 20 47.6,-22 08 57,15.3,V,,0.026,S
,ESO 490-IG26,06 40 11.8,-25 53 38,15.0,V,,0.026,S1.0
,ESO 490-G18,06 37 59.7,-24 12 05,14.9,V,,0.026,S3
,NVSS J17093-1233,17 09 18.2,-12 33 47,16.3,O,,0.026,S3
,NGC 7212,22 07 02.0,+10 14 00,14.8,V,,0.026,S1h
,MCG -02.28.039,11 01 29.9,-12 26 56,15.87,O,,0.026,S1.5
,NPM1G-04.0637,22 53 10.5,-04 08 49,15.8,V,,0.026,S1
,NGC 7237,22 14 46.9,+13 50 27,15.27,V,,0.026,S
,UGC 12646,23 31 39.0,+25 56 47,13.67,V,,0.026,S2
,SDSS J14147+0306,14 14 42.6,+03 06 33,17.66,V,,0.026,S2
,NVSS J22559-1222,22 55 59.9,-12 22 11,15.5,V,,0.026,S
,IRAS 06483-1955,06 50 30.9,-19 59 25,16.2,O,,0.026,S1.8
,MARK 1261,10 43 52.6,-01 17 40,14.25,V,,0.026,H2
,MARK 1490,14 19 43.3,+49 14 11,15.8,V,,0.026,H2
,Q 1241+1624,12 43 32.3,+16 07 43,18.2,V,,0.026,AG
,SDSS J14143+0258,14 14 23.0,+02 58 40,17.03,V,,0.026,S2
,ESO 549-G49,04 02 25.8,-18 02 52,14.2,V,,0.026,S1
,NGC 5515,14 12 38.1,+39 18 34,13.7,V,,0.026,S1.9
,MARK  543,00 02 26.4,+03 21 06,14.68,V,,0.026,S1.5
,ESO 113-G10,01 05 17.0,-58 26 13,14.6,V,,0.026,S1.8
,IRAS 14167-7236,14 21 21.0,-72 50 22,15.4,V,,0.026,S2
,MCG -04.32.034,13 32 43.1,-23 41 33,14.8,V,,0.026,S
,IC 1867,02 55 52.2,+09 18 42,14.6,V,,0.026,S2
,II Zw 102,21 07 45.9,+03 52 40,14.76,V,,0.026,S2
,MARK  335,00 06 19.5,+20 12 11,13.85,V,,0.026,S1n
,F  285,10 47 40.7,-72 25 40,16.2,V,,0.026,H2
,SDSS J11159-0020,11 15 59.5,-00 20 59,17.62,V,,0.026,S1
,ESO 399-015,20 00 46.6,-34 37 59,15.02,V,,0.026,S3
,PDS J01118-4558,01 11 53.5,-45 58 46,14.68,R,,0.026,S2
,SZ 80,15 55 05.7,-38 03 23,16.5,V,,0.026,H2
,SDSS J16473+4442,16 47 21.4,+44 42 10,17.89,V,,0.026,S1
,SDSS J14170+0030,14 17 04.5,+00 30 29,17.83,V,,0.026,S2
,ESO 533-G50,22 34 49.9,-25 40 35,14.1,V,,0.026,S2
,MCG +02.60.017,23 47 09.2,+15 35 46,14.4,V,,0.026,S2
,SDSS J14251+0201,14 25 06.8,+02 01 04,17.91,V,,0.026,S2
,SDSS J09237+5519,09 23 42.2,+55 19 50,20.15,V,,0.026,S1
,Q 2055+0126,20 58 18.2,+01 38 00,18.99,R,,0.026,AG
,NGC 6552,18 00 07.3,+66 36 55,14.6,V,,0.027,S1h
,MCG +10.12.091,08 12 50.6,+57 55 18,14.41,V,,0.027,S2
,SDSS J17126+5719,17 12 38.1,+57 19 20,17.3,V,,0.027,S2
,NVSS J13230-3452,13 23 02.4,-34 52 46,15.3,V,,0.027,S3
,NVSS J16448-1302,16 44 49.4,-13 02 07,13.1,I,,0.027,S
,NGC 6521,17 55 48.5,+62 36 44,13.9,V,,0.027,S1.9
,MARK  176,11 32 40.3,+52 57 01,14.61,V,,0.027,S1i
,Zw 229.015,19 05 26.0,+42 27 40,15.4,V,,0.027,S1
,ESO 540-G01,00 34 13.8,-21 26 20,13.7,V,,0.027,S1.8
,NGC 4704,12 48 46.5,+41 55 16,13.6,V,,0.027,S2
,WKK 3262,14 35 11.6,-69 43 45,18.5,V,,0.027,S2
,NGC 7566,23 16 37.4,-02 19 50,14.27,V,,0.027,S2
,RXS J05055+0416,05 05 34.7,+04 15 54,17.6,V,,0.027,BL
,SDSS J11437+5500,11 43 43.7,+55 00 19,17.29,V,,0.027,S1
,SDSS J07372+3131,07 37 15.8,+31 31 11,17.27,V,,0.027,S1
,SDSS J14468-0028,14 46 50.3,-00 28 20,21.71,V,,0.027,S3
,MCG -04.27.011,11 28 59.6,-22 28 58,14.6,V,,0.027,S
,XMM J00344-4333,00 34 25.3,-43 33 08,21.52,V,,0.027,S1
,1H 2107-097,21 09 09.9,-09 40 15,14.39,V,,0.027,S1.2
,ESO 080-G05,01 47 39.3,-66 09 50,16.0,V,,0.027,S1.8
,SBS 0808+587,08 12 17.1,+58 33 52,14.91,V,,0.027,S2
,IRAS 03106-0254,03 13 07.8,-02 43 18,14.0,V,,0.027,S2
,UGC  1093SE,01 31 51.3,+17 33 55,14.4,V,,0.027,S3
,SDSS J17299+5823,17 29 56.6,+58 23 50,17.25,V,,0.027,S2
,NGC 2859 U6,09 23 21.7,+34 43 43,18.5,V,,0.027,AG
,MARK 1459,11 48 05.3,+21 49 38,16.4,V,,0.027,H2
,KAZ 147,17 34 31.8,+67 02 29,16.0,V,,0.027,S2
,Q 1350+3758,13 53 00.5,+37 43 53,17.95,R,,0.027,AG
,ESO 509-G38,13 31 13.8,-25 24 09,14.8,V,,0.027,S1
,IC  910,13 41 08.0,+23 16 51,15.1,V,,0.027,S3
,PC 0026+0535,00 28 47.0,+05 52 29,19.76,R,,0.027,AG
,SDSS J10397-0042,10 39 42.9,-00 42 28,17.88,V,,0.027,S2
,WAS 87,14 01 09.3,+21 14 15,14.8,V,,0.027,H2
,SBS 0911+472,09 14 34.9,+47 02 08,16.5,V,,0.027,H2
,III Zw  35,01 44 30.4,+17 06 09,14.81,V,,0.027,S2
,MARK  896,20 46 20.8,-02 48 45,14.61,V,,0.027,S1n
,MCG +10.16.111,11 18 57.9,+58 03 23,16.69,V,,0.027,S1
